trait,FD,cut,loc,year,predicted.value,standard.error,upper.Confidence.limit,lower.Confidence.limit,est.status
ADF,1,1,ID,2018,28.951258658837,0.53757731207495,30.0113377574245,27.8911795602496,Estimable
ADF,1,1,ID,2019,30.2914480321968,0.549844536539317,31.3757175643466,29.2071785000471,Estimable
ADF,1,1,ID,2020,27.5522963422012,0.552782878150951,28.6423601563213,26.4622325280812,Estimable
ADF,1,1,OR,2018,32.2868522424485,0.865075006072938,33.9927425619426,30.5809619229543,Estimable
ADF,1,1,OR,2019,33.6270416158083,0.865881518618604,35.3345223429949,31.9195608886217,Estimable
ADF,1,1,OR,2020,30.8878899258127,0.867970845837397,32.5994907154815,29.1762891361439,Estimable
ADF,1,1,OR,2021,27.815600122564,0.877798697940919,29.5465810095043,26.0846192356238,Estimable
ADF,1,1,WA,2018,32.1545966430248,0.775249436339329,33.6833548424416,30.625838443608,Estimable
ADF,1,1,WA,2019,33.4947860163846,0.767312915075262,35.0078937407561,31.981678292013,Estimable
ADF,1,1,WA,2020,30.755634326389,0.771189115228229,32.276385749019,29.234882903759,Estimable
ADF,1,1,WA,2021,27.6833445231403,0.785341214919197,29.2320032713709,26.1346857749098,Estimable
ADF,1,2,ID,2018,29.4794694184411,0.685332719421057,30.8309157594933,28.1280230773889,Estimable
ADF,1,2,ID,2019,30.8196587918009,0.680936758550731,32.1624364890466,29.4768810945552,Estimable
ADF,1,2,OR,2018,30.6815922773401,1.10213307754954,32.8549508122503,28.50823374243,Estimable
ADF,1,2,OR,2019,32.0217816506999,1.0933342934947,34.1777893658117,29.8657739355882,Estimable
ADF,1,2,OR,2020,29.2826299607043,1.09572600268956,31.4433540224148,27.1219058989939,Estimable
ADF,1,2,WA,2018,28.8893090306993,0.584924631295805,30.0427549852771,27.7358630761215,Estimable
ADF,1,2,WA,2019,30.2294984040591,0.577228708868965,31.3677683340432,29.0912284740749,Estimable
ADF,1,2,WA,2020,27.4903467140635,0.576093816109091,28.6263786848428,26.3543147432842,Estimable
ADF,1,3,ID,2019,30.1277888333886,0.683651668213928,31.4759202145117,28.7796574522655,Estimable
ADF,1,3,ID,2020,27.388637143393,0.683133076855587,28.7357458848932,26.0415284018928,Estimable
ADF,1,3,OR,2018,29.9647192368046,0.799784657082037,31.5418598253297,28.3875786482795,Estimable
