env,env2,loc,env3,year,cut,trait,gen,predicted.value,std.error,status,weight,FD,Var,date_init,date,harv_days1,harv_days2,harv_days3,cut_freq,cons_days,cons_days1
ID_2019_1,ID_2019,ID,2019_1,2019,1,ADF,44,30.2459493220339,0.89812326193015,Estimable,1.39052787525331,4,Legend,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,ADF,61,30.429460338983,0.823143566239113,Estimable,1.52958066277863,6,ABI700,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,ADF,104,30.4733393220339,0.89812326193015,Estimable,1.3905278752533,5,Archer,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,ADF,112,31.8462210169491,1.01080438195795,Estimable,1.15877322937775,1,Maverick,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,ADF,144,30.437139661017,0.823143566239113,Estimable,1.52958066277864,3,22277_5246,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,ADF,201,32.7013350847458,0.401652933169933,Estimable,6.25737543863987,2,Vernal,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,aNDF,44,37.9676688135592,1.34335609386523,Estimable,0.62154029549186,4,Legend,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,aNDF,61,37.6946755932204,1.23120619708352,Estimable,0.683694325041046,6,ABI700,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,aNDF,104,37.5558488135593,1.34335609386523,Estimable,0.62154029549186,5,Archer,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,aNDF,112,39.5790067796611,1.51189740180062,Estimable,0.517950246243216,1,Maverick,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,aNDF,144,37.8857844067796,1.23120619708352,Estimable,0.683694325041046,3,22277_5246,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,aNDF,201,40.0867138983051,0.600767108774248,Estimable,2.79693132971337,2,Vernal,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ash,44,10.629663220339,0.395463802070263,Estimable,7.17196422478454,4,Legend,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ash,61,9.88227138983051,0.362448561520403,Estimable,7.88916064726298,6,ABI700,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ash,104,11.460833220339,0.395463802070263,Estimable,7.17196422478453,5,Archer,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ash,112,10.5424801694915,0.445079824766262,Estimable,5.97663685398711,1,Maverick,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ash,144,10.5648566101695,0.362448561520403,Estimable,7.88916064726299,3,22277_5246,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ash,201,11.3097208474576,0.176856788813926,Estimable,32.2738390115304,2,Vernal,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ca,44,1.38903884745763,0.0550488385326233,Estimable,370.130836600245,4,Legend,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ca,61,1.37915757627119,0.0504530938990296,Estimable,407.143920260269,6,ABI700,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ca,104,1.43478184745763,0.0550488385326233,Estimable,370.130836600245,5,Archer,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ca,112,1.35792272881356,0.0619554236808077,Estimable,308.442363833537,1,Maverick,2019-01-01,2019-06-05,238,1,155,1,322,520
ID_2019_1,ID_2019,ID,2019_1,2019,1,Ca,144,1.45078042372881,0.0504530938990296,Estimable,407.14392026027,3,22277_5246,2019-01-01,2019-06-05,238,1,155,1,322,520
